DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,METHOD2,meandiff,p-adj,lower,upper,reject
youtube,16-20,32,deepWalk,TransE,test,MRR,source,transformed,0.2658,0.001,0.1998,0.3317,True
orkut,351-355,32,node2vec,RESCAL,test,MRR,source,transformed,0.0173,0.035,0.0008,0.0338,True
lj,121-125,32,deepWalk,TransD,test,MRR,source,transformed,0.005,0.9,-0.0197,0.0298,False
orkut,351-355,32,deepWalk,TransH,test,MRR,source,transformed,0.0062,0.7926,-0.012,0.0243,False
youtube,16-20,32,node2vec,DistMult,test,MRR,source,transformed,0.0276,0.0706,-0.0015,0.0567,False
orkut,351-355,32,deepWalk,DistMult,test,MRR,source,transformed,-0.0103,0.2592,-0.0247,0.0042,False
orkut,351-355,32,node2vec,DistMult,test,MRR,source,transformed,0.0342,0.001,0.0202,0.0482,True
youtube,16-20,32,deepWalk,TransH,test,MRR,source,transformed,0.2772,0.001,0.2106,0.3438,True
youtube,16-20,32,node2vec,TransH,test,MRR,source,transformed,0.2052,0.001,0.1356,0.2749,True
lj,121-125,32,node2vec,SimplE,test,MRR,source,transformed,-0.0347,0.001,-0.0444,-0.0249,True
orkut,351-355,32,deepWalk,TransD,test,MRR,source,transformed,-0.0005,0.9,-0.0153,0.0144,False
lj,121-125,32,node2vec,TransD,test,MRR,source,transformed,0.0102,0.688,-0.0146,0.035,False
orkut,351-355,32,deepWalk,TransE,test,MRR,source,transformed,0.0057,0.8304,-0.0124,0.0237,False
lj,121-125,32,deepWalk,RESCAL,test,MRR,source,transformed,0.0346,0.1774,-0.0093,0.0784,False
youtube,16-20,32,deepWalk,DistMult,test,MRR,source,transformed,0.028,0.067,-0.0013,0.0574,False
lj,121-125,32,node2vec,RESCAL,test,MRR,source,transformed,0.0583,0.0051,0.0133,0.1032,True
lj,121-125,32,node2vec,DistMult,test,MRR,source2target,target,-0.0309,0.001,-0.0484,-0.0134,True
youtube,16-20,32,deepWalk,SimplE,test,MRR,source,transformed,0.0492,0.001,0.0196,0.0788,True
youtube,16-20,32,deepWalk,RESCAL,test,MRR,source,transformed,0.0673,0.0092,0.0124,0.1222,True
lj,121-125,32,deepWalk,SimplE,test,MRR,source2target,target,-0.0326,0.001,-0.0417,-0.0235,True
youtube,16-20,32,node2vec,RESCAL,test,MRR,source,transformed,0.07,0.0108,0.012,0.128,True
orkut,351-355,32,node2vec,TransD,test,MRR,source2target,target,-0.0039,0.9,-0.019,0.0112,False
youtube,16-20,32,deepWalk,TransD,test,MRR,source2target,target,0.0129,0.9,-0.0529,0.0786,False
lj,121-125,32,node2vec,TransH,test,MRR,source2target,target,0.0012,0.9,-0.0264,0.0289,False
lj,121-125,32,deepWalk,DistMult,test,MRR,source2target,target,-0.032,0.001,-0.0493,-0.0147,True
youtube,16-20,32,node2vec,TransD,test,MRR,source2target,target,0.0134,0.9,-0.0557,0.0825,False
youtube,16-20,32,node2vec,TransE,test,MRR,source2target,target,-0.0026,0.9,-0.0735,0.0682,False
lj,111-115,32,node2vec,DistMult,test,MRR,source,target,-0.0244,0.001,-0.0398,-0.009,True
