DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,METHOD2,meandiff,p-adj,lower,upper,reject
lj,101-105,32,node2vec,DistMult,test,Hit@1,target,transformed,0.0666,0.001,0.0538,0.0793,True
lj,101-105,32,deepWalk,RESCAL,test,Hit@1,source2target,target,0.0028,0.9,-0.0203,0.026,False
orkut,251-255,32,node2vec,SimplE,test,MRR,source2target,target,-0.033,0.001,-0.0431,-0.0229,True
orkut,251-255,32,deepWalk,SimplE,test,MRR,source2target,target,-0.036,0.001,-0.0499,-0.0221,True
orkut,251-255,32,node2vec,TransD,test,MRR,source2target,target,0.0026,0.9,-0.0086,0.0138,False
orkut,251-255,32,node2vec,DistMult,test,MRR,source2target,target,-0.034,0.001,-0.0482,-0.0198,True
lj,101-105,32,deepWalk,TransD,test,Hit@1,source2target,target,0.0034,0.9,-0.0157,0.0225,False
orkut,251-255,32,deepWalk,DistMult,test,MRR,source2target,target,-0.037,0.001,-0.0506,-0.0235,True
lj,91-95,32,node2vec,TransD,test,Hit@10,target,transformed,-0.1953,0.001,-0.2397,-0.1508,True
lj,101-105,32,deepWalk,SimplE,test,Hit@1,source2target,target,-0.0175,0.0067,-0.0314,-0.0036,True
orkut,251-255,32,node2vec,RESCAL,test,MRR,source2target,target,-0.0472,0.001,-0.0648,-0.0295,True
lj,91-95,32,deepWalk,SimplE,test,Hit@10,target,transformed,0.1859,0.001,0.1535,0.2184,True
orkut,251-255,32,deepWalk,TransH,test,MRR,source2target,target,-0.039,0.001,-0.0547,-0.0232,True
dblp,16-20,32,node2vec,TransE,test,MRR,target,transformed,0.0073,0.9,-0.042,0.0567,False
dblp,16-20,32,node2vec,SimplE,test,MRR,target,transformed,0.1243,0.001,0.1038,0.1448,True
orkut,251-255,32,deepWalk,TransE,test,MRR,source2target,target,-0.0378,0.001,-0.053,-0.0227,True
dblp,16-20,32,node2vec,TransH,test,MRR,target,transformed,0.0057,0.9,-0.0438,0.0552,False
orkut,251-255,32,deepWalk,TransD,test,MRR,source2target,target,-0.003,0.9,-0.0149,0.0088,False
orkut,251-255,32,node2vec,TransE,test,MRR,source2target,target,-0.0045,0.7809,-0.0176,0.0085,False
orkut,251-255,32,deepWalk,RESCAL,test,MRR,source2target,target,-0.0527,0.001,-0.0691,-0.0363,True
orkut,251-255,32,node2vec,TransH,test,MRR,source2target,target,-0.0038,0.8711,-0.0169,0.0094,False
dblp,16-20,32,deepWalk,DistMult,test,MRR,target,transformed,0.1287,0.001,0.1085,0.149,True
dblp,16-20,32,deepWalk,SimplE,test,MRR,target,transformed,0.1235,0.001,0.103,0.1439,True
dblp,16-20,32,node2vec,DistMult,test,MRR,target,transformed,0.1253,0.001,0.1036,0.1471,True
dblp,16-20,32,deepWalk,TransD,test,MRR,target,transformed,-0.0031,0.9,-0.0528,0.0466,False
dblp,16-20,32,deepWalk,TransH,test,MRR,target,transformed,0.0008,0.9,-0.0496,0.0511,False
dblp,16-20,32,deepWalk,TransE,test,MRR,target,transformed,0.0078,0.9,-0.0422,0.0578,False
dblp,16-20,32,deepWalk,RESCAL,test,MRR,target,transformed,-0.0287,0.1958,-0.066,0.0086,False
dblp,16-20,32,node2vec,TransD,test,MRR,target,transformed,-0.0166,0.7882,-0.0651,0.0318,False
dblp,16-20,32,node2vec,RESCAL,test,MRR,target,transformed,-0.0489,0.0022,-0.0841,-0.0137,True
lj,101-105,32,deepWalk,DistMult,test,Hit@1,target,transformed,0.0735,0.001,0.0596,0.0873,True
lj,101-105,32,node2vec,RESCAL,test,Hit@1,target,transformed,-0.0239,0.0494,-0.0478,-0.0,True
lj,81-85,32,deepWalk,TransD,test,MRR,source,transformed,0.0199,0.0744,-0.0013,0.041,False
lj,91-95,32,node2vec,TransH,test,Hit@3,source,source2target,0.1336,0.001,0.0928,0.1743,True
lj,91-95,32,node2vec,SimplE,test,Hit@3,source,source2target,0.0,0.9,-0.0208,0.0208,False
lj,81-85,32,node2vec,TransE,test,MRR,source,transformed,0.0326,0.001,0.0109,0.0544,True
lj,81-85,32,node2vec,DistMult,test,MRR,source,transformed,0.0277,0.001,0.016,0.0394,True
lj,81-85,32,deepWalk,TransE,test,MRR,source,transformed,0.1055,0.001,0.082,0.1289,True
lj,91-95,32,node2vec,DistMult,test,Hit@3,source,source2target,0.0,0.9,-0.0176,0.0176,False
lj,81-85,32,deepWalk,DistMult,test,MRR,source,transformed,0.0259,0.001,0.0145,0.0372,True
lj,101-105,32,node2vec,TransD,test,Hit@1,source2target,transformed,-0.0379,0.001,-0.0584,-0.0174,True
lj,81-85,32,deepWalk,RESCAL,test,MRR,source,transformed,0.0411,0.0012,0.0127,0.0694,True
lj,91-95,32,deepWalk,RESCAL,test,Hit@3,source,source2target,0.0882,0.001,0.0396,0.1368,True
lj,91-95,32,deepWalk,TransE,test,Hit@3,source,source2target,0.1148,0.001,0.0743,0.1553,True
lj,81-85,32,deepWalk,TransH,test,MRR,source,transformed,0.0002,0.9,-0.0208,0.0211,False
lj,81-85,32,node2vec,SimplE,test,MRR,source,transformed,0.0285,0.001,0.017,0.0401,True
lj,81-85,32,deepWalk,SimplE,test,MRR,source,transformed,0.0091,0.2082,-0.0029,0.021,False
lj,101-105,32,node2vec,SimplE,test,Hit@1,source2target,transformed,-0.0054,0.0584,-0.011,0.0001,False
lj,81-85,32,node2vec,TransH,test,MRR,source,transformed,0.0956,0.001,0.0721,0.119,True
lj,101-105,32,node2vec,TransE,test,Hit@1,source2target,transformed,-0.0251,0.0038,-0.0441,-0.0062,True
lj,81-85,32,node2vec,RESCAL,test,MRR,source,transformed,0.0402,0.0018,0.0116,0.0687,True
lj,81-85,32,node2vec,TransD,test,MRR,source,transformed,0.0824,0.001,0.0592,0.1056,True
lj,91-95,32,deepWalk,TransH,test,Hit@3,source,source2target,0.1189,0.001,0.0768,0.161,True
lj,91-95,32,deepWalk,DistMult,test,Hit@3,source,source2target,0.0,0.9,-0.0153,0.0153,False
lj,101-105,32,deepWalk,TransH,test,Hit@1,source2target,transformed,-0.0357,0.001,-0.0554,-0.0161,True
lj,101-105,32,node2vec,TransH,test,Hit@1,source2target,transformed,-0.0533,0.001,-0.0727,-0.0338,True
lj,101-105,32,deepWalk,TransE,test,Hit@1,source2target,transformed,-0.0368,0.001,-0.0555,-0.0181,True
lj,91-95,32,node2vec,TransE,test,Hit@3,source,source2target,0.1336,0.001,0.0914,0.1758,True
lj,91-95,32,deepWalk,TransD,test,Hit@3,source,source2target,0.1066,0.001,0.0665,0.1467,True
lj,91-95,32,node2vec,RESCAL,test,Hit@3,source,source2target,0.0813,0.001,0.0341,0.1286,True
lj,101-105,32,deepWalk,RESCAL,test,Hit@1,source2target,transformed,-0.0192,0.1435,-0.0423,0.004,False
orkut,251-255,32,node2vec,SimplE,test,MRR,source2target,transformed,-0.0169,0.001,-0.027,-0.0068,True
orkut,251-255,32,deepWalk,SimplE,test,MRR,source2target,transformed,-0.0011,0.9,-0.015,0.0128,False
orkut,251-255,32,node2vec,TransD,test,MRR,source2target,transformed,-0.0531,0.001,-0.0643,-0.0419,True
orkut,251-255,32,node2vec,DistMult,test,MRR,source2target,transformed,0.0375,0.001,0.0233,0.0517,True
lj,101-105,32,deepWalk,TransD,test,Hit@1,source2target,transformed,-0.0491,0.001,-0.0681,-0.03,True
orkut,251-255,32,deepWalk,DistMult,test,MRR,source2target,transformed,0.0009,0.9,-0.0126,0.0145,False
lj,101-105,32,deepWalk,SimplE,test,Hit@1,source2target,transformed,0.0568,0.001,0.0429,0.0707,True
orkut,251-255,32,node2vec,RESCAL,test,MRR,source2target,transformed,-0.0508,0.001,-0.0685,-0.0332,True
lj,91-95,32,deepWalk,SimplE,test,Hit@3,source,source2target,0.0,0.9,-0.0193,0.0193,False
orkut,251-255,32,deepWalk,TransH,test,MRR,source2target,transformed,-0.0938,0.001,-0.1095,-0.078,True
lj,91-95,32,node2vec,TransD,test,Hit@3,source,source2target,0.1154,0.001,0.0754,0.1553,True
dblp,16-20,32,node2vec,TransE,test,MR,source,source2target,-1.0126,0.001,-1.5965,-0.4286,True
orkut,251-255,32,deepWalk,TransE,test,MRR,source2target,transformed,-0.0933,0.001,-0.1085,-0.0782,True
dblp,16-20,32,node2vec,SimplE,test,MR,source,source2target,0.0035,0.9,-0.601,0.608,False
dblp,16-20,32,node2vec,TransH,test,MR,source,source2target,-1.0347,0.001,-1.6208,-0.4486,True
orkut,251-255,32,deepWalk,TransD,test,MRR,source2target,transformed,-0.0581,0.001,-0.0699,-0.0462,True
orkut,251-255,32,node2vec,TransE,test,MRR,source2target,transformed,-0.0603,0.001,-0.0733,-0.0472,True
orkut,251-255,32,deepWalk,RESCAL,test,MRR,source2target,transformed,-0.083,0.001,-0.0994,-0.0665,True
orkut,251-255,32,node2vec,TransH,test,MRR,source2target,transformed,-0.0591,0.001,-0.0722,-0.046,True
dblp,16-20,32,deepWalk,DistMult,test,MR,source,source2target,0.0054,0.9,-0.6125,0.6233,False
dblp,16-20,32,deepWalk,SimplE,test,MR,source,source2target,0.0041,0.9,-0.6056,0.6138,False
dblp,16-20,32,node2vec,DistMult,test,MR,source,source2target,0.0075,0.9,-0.6331,0.6481,False
dblp,16-20,32,deepWalk,TransD,test,MR,source,source2target,-0.8528,0.002,-1.4631,-0.2424,True
dblp,16-20,32,deepWalk,TransH,test,MR,source,source2target,-0.8535,0.0013,-1.4455,-0.2615,True
dblp,16-20,32,node2vec,TransD,test,MR,source,source2target,-0.9762,0.001,-1.568,-0.3844,True
dblp,16-20,32,deepWalk,TransE,test,MR,source,source2target,-0.8573,0.0012,-1.4506,-0.264,True
lj,81-85,32,deepWalk,TransD,test,MRR,source2target,target,0.0118,0.4781,-0.0094,0.0329,False
lj,91-95,32,node2vec,TransH,test,Hit@3,source,target,0.1317,0.001,0.0909,0.1725,True
dblp,16-20,32,node2vec,RESCAL,test,MR,source,source2target,0.1339,0.9,-0.5429,0.8107,False
lj,91-95,32,node2vec,SimplE,test,Hit@3,source,target,-0.0256,0.0088,-0.0464,-0.0048,True
dblp,16-20,32,deepWalk,RESCAL,test,MR,source,source2target,0.247,0.7801,-0.4602,0.9542,False
lj,81-85,32,node2vec,TransE,test,MRR,source2target,target,-0.0008,0.9,-0.0225,0.021,False
lj,81-85,32,node2vec,DistMult,test,MRR,source2target,target,-0.0193,0.001,-0.0309,-0.0076,True
lj,81-85,32,deepWalk,TransE,test,MRR,source2target,target,-0.0012,0.9,-0.0247,0.0222,False
lj,91-95,32,node2vec,DistMult,test,Hit@3,source,target,-0.0272,0.001,-0.0448,-0.0097,True
lj,81-85,32,deepWalk,DistMult,test,MRR,source2target,target,-0.0284,0.001,-0.0398,-0.0171,True
lj,101-105,32,node2vec,TransD,test,Hit@1,target,transformed,-0.0455,0.001,-0.066,-0.025,True
lj,81-85,32,deepWalk,RESCAL,test,MRR,source2target,target,-0.0006,0.9,-0.029,0.0277,False
lj,91-95,32,deepWalk,RESCAL,test,Hit@3,source,target,0.087,0.001,0.0384,0.1356,True
lj,91-95,32,deepWalk,TransE,test,Hit@3,source,target,0.1172,0.001,0.0766,0.1577,True
lj,81-85,32,deepWalk,TransH,test,MRR,source2target,target,0.0013,0.9,-0.0197,0.0222,False
lj,81-85,32,node2vec,SimplE,test,MRR,source2target,target,-0.0197,0.001,-0.0313,-0.0082,True
lj,81-85,32,deepWalk,SimplE,test,MRR,source2target,target,-0.0289,0.001,-0.0408,-0.0169,True
lj,101-105,32,node2vec,SimplE,test,Hit@1,target,transformed,0.0056,0.0487,0.0,0.0112,True
lj,81-85,32,node2vec,TransH,test,MRR,source2target,target,0.0014,0.9,-0.0221,0.0249,False
lj,101-105,32,node2vec,TransE,test,Hit@1,target,transformed,-0.025,0.004,-0.044,-0.0061,True
lj,81-85,32,node2vec,RESCAL,test,MRR,source2target,target,0.0129,0.6314,-0.0156,0.0414,False
lj,81-85,32,node2vec,TransD,test,MRR,source2target,target,0.0075,0.8156,-0.0157,0.0308,False
lj,91-95,32,deepWalk,TransH,test,Hit@3,source,target,0.1178,0.001,0.0757,0.1599,True
lj,91-95,32,deepWalk,DistMult,test,Hit@3,source,target,-0.0322,0.001,-0.0475,-0.0169,True
lj,101-105,32,deepWalk,TransH,test,Hit@1,target,transformed,-0.0378,0.001,-0.0574,-0.0182,True
lj,101-105,32,node2vec,TransH,test,Hit@1,target,transformed,-0.055,0.001,-0.0745,-0.0356,True
lj,101-105,32,deepWalk,TransE,test,Hit@1,target,transformed,-0.0367,0.001,-0.0554,-0.018,True
lj,91-95,32,node2vec,TransE,test,Hit@3,source,target,0.1342,0.001,0.092,0.1764,True
lj,91-95,32,deepWalk,TransD,test,Hit@3,source,target,0.1203,0.001,0.0802,0.1604,True
lj,91-95,32,node2vec,RESCAL,test,Hit@3,source,target,0.0899,0.001,0.0427,0.1372,True
lj,101-105,32,deepWalk,RESCAL,test,Hit@1,target,transformed,-0.022,0.0701,-0.0451,0.0012,False
orkut,251-255,32,node2vec,SimplE,test,MRR,target,transformed,0.0161,0.001,0.006,0.0263,True
orkut,251-255,32,deepWalk,SimplE,test,MRR,target,transformed,0.0349,0.001,0.021,0.0488,True
orkut,251-255,32,node2vec,TransD,test,MRR,target,transformed,-0.0557,0.001,-0.0669,-0.0445,True
orkut,251-255,32,node2vec,DistMult,test,MRR,target,transformed,0.0715,0.001,0.0573,0.0857,True
lj,101-105,32,deepWalk,TransD,test,Hit@1,target,transformed,-0.0525,0.001,-0.0716,-0.0334,True
orkut,251-255,32,deepWalk,DistMult,test,MRR,target,transformed,0.038,0.001,0.0244,0.0515,True
lj,101-105,32,deepWalk,SimplE,test,Hit@1,target,transformed,0.0744,0.001,0.0605,0.0883,True
orkut,251-255,32,node2vec,RESCAL,test,MRR,target,transformed,-0.0037,0.9,-0.0213,0.014,False
lj,91-95,32,deepWalk,SimplE,test,Hit@3,source,target,-0.0306,0.001,-0.0499,-0.0113,True
orkut,251-255,32,deepWalk,TransH,test,MRR,target,transformed,-0.0548,0.001,-0.0706,-0.039,True
lj,91-95,32,node2vec,TransD,test,Hit@3,source,target,0.1265,0.001,0.0866,0.1664,True
dblp,16-20,32,node2vec,TransE,test,MR,source,target,-1.032,0.001,-1.6159,-0.448,True
orkut,251-255,32,deepWalk,TransE,test,MRR,target,transformed,-0.0555,0.001,-0.0707,-0.0404,True
dblp,16-20,32,node2vec,SimplE,test,MR,source,target,-0.0885,0.9,-0.6929,0.516,False
dblp,16-20,32,node2vec,TransH,test,MR,source,target,-1.0621,0.001,-1.6481,-0.476,True
orkut,251-255,32,deepWalk,TransD,test,MRR,target,transformed,-0.055,0.001,-0.0668,-0.0432,True
orkut,251-255,32,node2vec,TransE,test,MRR,target,transformed,-0.0557,0.001,-0.0687,-0.0427,True
orkut,251-255,32,deepWalk,RESCAL,test,MRR,target,transformed,-0.0303,0.001,-0.0467,-0.0138,True
orkut,251-255,32,node2vec,TransH,test,MRR,target,transformed,-0.0553,0.001,-0.0684,-0.0422,True
dblp,16-20,32,deepWalk,DistMult,test,MR,source,target,0.0795,0.9,-0.5384,0.6974,False
dblp,16-20,32,deepWalk,SimplE,test,MR,source,target,-0.0331,0.9,-0.6428,0.5766,False
dblp,16-20,32,node2vec,DistMult,test,MR,source,target,0.0241,0.9,-0.6165,0.6647,False
dblp,16-20,32,deepWalk,TransD,test,MR,source,target,-0.9055,0.001,-1.5159,-0.2952,True
dblp,16-20,32,deepWalk,TransH,test,MR,source,target,-0.864,0.0011,-1.456,-0.2719,True
dblp,16-20,32,node2vec,TransD,test,MR,source,target,-1.0088,0.001,-1.6005,-0.417,True
dblp,16-20,32,deepWalk,TransE,test,MR,source,target,-0.8701,0.001,-1.4634,-0.2768,True
lj,81-85,32,deepWalk,TransD,test,MRR,source2target,transformed,-0.0755,0.001,-0.0966,-0.0543,True
lj,91-95,32,node2vec,TransH,test,Hit@3,source,transformed,0.005,0.9,-0.0358,0.0458,False
dblp,16-20,32,node2vec,RESCAL,test,MR,source,target,-0.5236,0.1916,-1.2004,0.1532,False
lj,91-95,32,node2vec,SimplE,test,Hit@3,source,transformed,0.1124,0.001,0.0916,0.1333,True
dblp,16-20,32,deepWalk,RESCAL,test,MR,source,target,-0.5695,0.1626,-1.2767,0.1377,False
lj,81-85,32,node2vec,TransE,test,MRR,source2target,transformed,-0.0655,0.001,-0.0873,-0.0438,True
lj,81-85,32,node2vec,DistMult,test,MRR,source2target,transformed,0.0277,0.001,0.016,0.0394,True
lj,81-85,32,deepWalk,TransE,test,MRR,source2target,transformed,-0.0009,0.9,-0.0244,0.0225,False
lj,91-95,32,node2vec,DistMult,test,Hit@3,source,transformed,0.0376,0.001,0.02,0.0552,True
lj,81-85,32,deepWalk,DistMult,test,MRR,source2target,transformed,0.0258,0.001,0.0145,0.0372,True
lj,81-85,32,deepWalk,RESCAL,test,MRR,source2target,transformed,-0.0218,0.1968,-0.0502,0.0066,False
lj,91-95,32,deepWalk,RESCAL,test,Hit@3,source,transformed,0.049,0.047,0.0004,0.0976,True
lj,91-95,32,deepWalk,TransE,test,Hit@3,source,transformed,-0.0115,0.8729,-0.0521,0.029,False
lj,81-85,32,deepWalk,TransH,test,MRR,source2target,transformed,-0.106,0.001,-0.127,-0.0851,True
lj,81-85,32,node2vec,SimplE,test,MRR,source2target,transformed,0.0285,0.001,0.017,0.0401,True
lj,81-85,32,deepWalk,SimplE,test,MRR,source2target,transformed,0.009,0.2101,-0.0029,0.021,False
lj,81-85,32,node2vec,TransH,test,MRR,source2target,transformed,-0.0022,0.9,-0.0257,0.0213,False
lj,81-85,32,node2vec,RESCAL,test,MRR,source2target,transformed,-0.0068,0.9,-0.0353,0.0217,False
lj,81-85,32,node2vec,TransD,test,MRR,source2target,transformed,-0.0112,0.5854,-0.0344,0.012,False
lj,91-95,32,deepWalk,TransH,test,Hit@3,source,transformed,0.0073,0.9,-0.0348,0.0494,False
lj,91-95,32,deepWalk,DistMult,test,Hit@3,source,transformed,0.0216,0.0017,0.0063,0.0369,True
lj,91-95,32,node2vec,TransE,test,Hit@3,source,transformed,0.1137,0.001,0.0715,0.1559,True
lj,91-95,32,deepWalk,TransD,test,Hit@3,source,transformed,0.0001,0.9,-0.04,0.0401,False
lj,91-95,32,node2vec,RESCAL,test,Hit@3,source,transformed,0.0539,0.018,0.0067,0.1012,True
orkut,251-255,32,node2vec,SimplE,test,MR,source,source2target,0.0057,0.9,-5.439,5.4504,False
orkut,251-255,32,deepWalk,SimplE,test,MR,source,source2target,0.0058,0.9,-6.5235,6.5351,False
orkut,251-255,32,node2vec,TransD,test,MR,source,source2target,-31.8984,0.001,-35.3075,-28.4892,True
orkut,251-255,32,node2vec,DistMult,test,MR,source,source2target,0.0212,0.9,-5.7602,5.8026,False
orkut,251-255,32,deepWalk,DistMult,test,MR,source,source2target,0.0145,0.9,-6.5372,6.5662,False
lj,91-95,32,deepWalk,SimplE,test,Hit@3,source,transformed,0.102,0.001,0.0827,0.1213,True
lj,91-95,32,node2vec,TransD,test,Hit@3,source,transformed,-0.0058,0.9,-0.0458,0.0341,False
orkut,251-255,32,deepWalk,TransH,test,MR,source,source2target,-45.6584,0.001,-51.3582,-39.9586,True
dblp,16-20,32,node2vec,TransE,test,MR,source,transformed,-1.1413,0.001,-1.7252,-0.5573,True
orkut,251-255,32,node2vec,RESCAL,test,MR,source,source2target,-38.2836,0.001,-47.6972,-28.87,True
dblp,16-20,32,node2vec,SimplE,test,MR,source,transformed,-1.9468,0.001,-2.5513,-1.3424,True
orkut,251-255,32,deepWalk,TransE,test,MR,source,source2target,-45.4098,0.001,-51.4992,-39.3203,True
dblp,16-20,32,node2vec,TransH,test,MR,source,transformed,-1.1372,0.001,-1.7233,-0.5512,True
orkut,251-255,32,deepWalk,RESCAL,test,MR,source,source2target,-45.0148,0.001,-52.6616,-37.3681,True
orkut,251-255,32,deepWalk,TransD,test,MR,source,source2target,-33.9503,0.001,-37.526,-30.3746,True
orkut,251-255,32,node2vec,TransE,test,MR,source,source2target,-37.981,0.001,-42.8376,-33.1244,True
dblp,16-20,32,deepWalk,DistMult,test,MR,source,transformed,-1.9929,0.001,-2.6108,-1.375,True
dblp,16-20,32,deepWalk,SimplE,test,MR,source,transformed,-1.8584,0.001,-2.4681,-1.2488,True
orkut,251-255,32,node2vec,TransH,test,MR,source,source2target,-37.6997,0.001,-42.3427,-33.0568,True
dblp,16-20,32,node2vec,DistMult,test,MR,source,transformed,-1.9052,0.001,-2.5458,-1.2646,True
dblp,16-20,32,deepWalk,TransD,test,MR,source,transformed,-0.8332,0.0027,-1.4436,-0.2228,True
dblp,16-20,32,deepWalk,TransH,test,MR,source,transformed,-0.9107,0.001,-1.5028,-0.3187,True
dblp,16-20,32,node2vec,TransD,test,MR,source,transformed,-0.9555,0.001,-1.5472,-0.3637,True
dblp,16-20,32,deepWalk,TransE,test,MR,source,transformed,-0.9228,0.001,-1.5161,-0.3295,True
lj,81-85,32,deepWalk,TransD,test,MRR,target,transformed,-0.0872,0.001,-0.1084,-0.0661,True
lj,91-95,32,node2vec,TransH,test,Hit@3,source2target,target,-0.0019,0.9,-0.0426,0.0389,False
dblp,16-20,32,node2vec,RESCAL,test,MR,source,transformed,0.2434,0.7651,-0.4334,0.9202,False
lj,91-95,32,node2vec,SimplE,test,Hit@3,source2target,target,-0.0256,0.0087,-0.0464,-0.0048,True
dblp,16-20,32,deepWalk,RESCAL,test,MR,source,transformed,-0.139,0.9,-0.8463,0.5682,False
lj,81-85,32,node2vec,TransE,test,MRR,target,transformed,-0.0648,0.001,-0.0865,-0.043,True
lj,81-85,32,node2vec,DistMult,test,MRR,target,transformed,0.0469,0.001,0.0353,0.0586,True
lj,81-85,32,deepWalk,TransE,test,MRR,target,transformed,0.0003,0.9,-0.0232,0.0238,False
lj,91-95,32,node2vec,DistMult,test,Hit@3,source2target,target,-0.0272,0.001,-0.0448,-0.0097,True
lj,81-85,32,deepWalk,DistMult,test,MRR,target,transformed,0.0543,0.001,0.0429,0.0656,True
lj,81-85,32,deepWalk,RESCAL,test,MRR,target,transformed,-0.0212,0.2196,-0.0496,0.0072,False
lj,91-95,32,deepWalk,RESCAL,test,Hit@3,source2target,target,-0.0012,0.9,-0.0498,0.0474,False
lj,91-95,32,deepWalk,TransE,test,Hit@3,source2target,target,0.0024,0.9,-0.0382,0.0429,False
lj,81-85,32,deepWalk,TransH,test,MRR,target,transformed,-0.1073,0.001,-0.1283,-0.0864,True
lj,81-85,32,node2vec,SimplE,test,MRR,target,transformed,0.0482,0.001,0.0367,0.0598,True
lj,81-85,32,deepWalk,SimplE,test,MRR,target,transformed,0.0379,0.001,0.0259,0.0499,True
lj,81-85,32,node2vec,TransH,test,MRR,target,transformed,-0.0037,0.9,-0.0271,0.0198,False
lj,81-85,32,node2vec,RESCAL,test,MRR,target,transformed,-0.0197,0.2858,-0.0482,0.0089,False
lj,81-85,32,node2vec,TransD,test,MRR,target,transformed,-0.0188,0.1597,-0.042,0.0044,False
lj,91-95,32,deepWalk,TransH,test,Hit@3,source2target,target,-0.0011,0.9,-0.0432,0.041,False
lj,91-95,32,deepWalk,DistMult,test,Hit@3,source2target,target,-0.0322,0.001,-0.0475,-0.0169,True
lj,91-95,32,node2vec,TransE,test,Hit@3,source2target,target,0.0006,0.9,-0.0416,0.0428,False
lj,91-95,32,deepWalk,TransD,test,Hit@3,source2target,target,0.0137,0.7917,-0.0264,0.0537,False
lj,91-95,32,node2vec,RESCAL,test,Hit@3,source2target,target,0.0086,0.9,-0.0387,0.0558,False
orkut,251-255,32,node2vec,SimplE,test,MR,source,target,22.782,0.001,17.3373,28.2267,True
orkut,251-255,32,deepWalk,SimplE,test,MR,source,target,30.61,0.001,24.0807,37.1393,True
orkut,251-255,32,node2vec,TransD,test,MR,source,target,-31.3433,0.001,-34.7524,-27.9341,True
orkut,251-255,32,node2vec,DistMult,test,MR,source,target,21.7696,0.001,15.9882,27.551,True
orkut,251-255,32,deepWalk,DistMult,test,MR,source,target,29.5976,0.001,23.0458,36.1493,True
lj,91-95,32,deepWalk,SimplE,test,Hit@3,source2target,target,-0.0306,0.001,-0.0499,-0.0113,True
lj,91-95,32,node2vec,TransD,test,Hit@3,source2target,target,0.0111,0.8821,-0.0288,0.051,False
orkut,251-255,32,deepWalk,TransH,test,MR,source,target,-31.1517,0.001,-36.8515,-25.4519,True
dblp,16-20,32,node2vec,TransE,test,MR,source2target,target,-0.0194,0.9,-0.6034,0.5646,False
orkut,251-255,32,node2vec,RESCAL,test,MR,source,target,-15.4791,0.001,-24.8926,-6.0655,True
dblp,16-20,32,node2vec,SimplE,test,MR,source2target,target,-0.092,0.9,-0.6964,0.5125,False
orkut,251-255,32,deepWalk,TransE,test,MR,source,target,-31.071,0.001,-37.1604,-24.9815,True
dblp,16-20,32,node2vec,TransH,test,MR,source2target,target,-0.0273,0.9,-0.6134,0.5587,False
orkut,251-255,32,deepWalk,RESCAL,test,MR,source,target,-14.042,0.001,-21.6888,-6.3952,True
orkut,251-255,32,deepWalk,TransD,test,MR,source,target,-32.9321,0.001,-36.5078,-29.3564,True
orkut,251-255,32,node2vec,TransE,test,MR,source,target,-35.9653,0.001,-40.8218,-31.1087,True
dblp,16-20,32,deepWalk,DistMult,test,MR,source2target,target,0.074,0.9,-0.5439,0.6919,False
dblp,16-20,32,deepWalk,SimplE,test,MR,source2target,target,-0.0372,0.9,-0.6469,0.5725,False
orkut,251-255,32,node2vec,TransH,test,MR,source,target,-35.8598,0.001,-40.5028,-31.2169,True
dblp,16-20,32,node2vec,DistMult,test,MR,source2target,target,0.0166,0.9,-0.6239,0.6572,False
dblp,16-20,32,deepWalk,TransD,test,MR,source2target,target,-0.0528,0.9,-0.6631,0.5576,False
dblp,16-20,32,deepWalk,TransH,test,MR,source2target,target,-0.0105,0.9,-0.6025,0.5816,False
dblp,16-20,32,node2vec,TransD,test,MR,source2target,target,-0.0325,0.9,-0.6243,0.5592,False
dblp,16-20,32,deepWalk,TransE,test,MR,source2target,target,-0.0128,0.9,-0.6061,0.5805,False
lj,91-95,32,node2vec,TransH,test,Hit@3,source2target,transformed,-0.1286,0.001,-0.1693,-0.0878,True
dblp,16-20,32,node2vec,RESCAL,test,MR,source2target,target,-0.6575,0.0605,-1.3343,0.0193,False
lj,91-95,32,node2vec,SimplE,test,Hit@3,source2target,transformed,0.1124,0.001,0.0916,0.1333,True
lj,81-85,32,deepWalk,TransD,test,MR,source,source2target,-11.6764,0.001,-13.3177,-10.0351,True
dblp,16-20,32,deepWalk,RESCAL,test,MR,source2target,target,-0.8165,0.0161,-1.5237,-0.1093,True
lj,81-85,32,node2vec,TransE,test,MR,source,source2target,-9.861,0.001,-11.6848,-8.0371,True
lj,81-85,32,node2vec,DistMult,test,MR,source,source2target,-0.0024,0.9,-2.0461,2.0414,False
lj,81-85,32,deepWalk,TransE,test,MR,source,source2target,-12.4115,0.001,-14.0633,-10.7598,True
lj,91-95,32,node2vec,DistMult,test,Hit@3,source2target,transformed,0.0376,0.001,0.02,0.0552,True
lj,81-85,32,deepWalk,DistMult,test,MR,source,source2target,-0.0059,0.9,-1.9248,1.9129,False
lj,91-95,32,deepWalk,RESCAL,test,Hit@3,source2target,transformed,-0.0392,0.1617,-0.0878,0.0094,False
lj,91-95,32,deepWalk,TransE,test,Hit@3,source2target,transformed,-0.1264,0.001,-0.1669,-0.0858,True
lj,81-85,32,deepWalk,TransH,test,MR,source,source2target,-12.2612,0.001,-13.9462,-10.5762,True
lj,81-85,32,deepWalk,RESCAL,test,MR,source,source2target,-6.2688,0.001,-8.8309,-3.7066,True
lj,81-85,32,node2vec,SimplE,test,MR,source,source2target,-0.0008,0.9,-2.0254,2.0238,False
