DATASET,SIZE,DIM,SOURCE,TARGET,SPLIT,MEASURE,METHOD,mean,iqr,cilo,cihi,whishi,whislo,q1,med,q3
youtube,16-20,32,deepWalk,TransD,test,MRR,target,0.3779293676470588,0.23673,0.3130543650658419,0.4031966349341581,0.783333,0.1208,0.25451524999999997,0.3581255,0.49124524999999997
youtube,16-20,32,node2vec,SimplE,test,MR,source2target,8.150335602941176,2.4312500000000004,7.641280180379876,8.567053819620124,12.428572,3.7,6.975,8.104167,9.40625
youtube,16-20,32,deepWalk,TransH,test,MR,transformed,5.228297970588236,3.2124999999999995,4.544620629088063,5.767879370911937,10.333333,1.0,3.575,5.15625,6.7875
youtube,16-20,32,deepWalk,TransD,test,MR,source,9.308744264705881,2.0499994999999984,9.109699640605514,9.890300359394486,12.625,5.4,8.325000500000002,9.5,10.375
youtube,16-20,32,node2vec,SimplE,test,MR,transformed,8.87846192647059,2.7031252500000003,8.485350724932708,9.514649275067292,13.1,3.666667,7.56249975,9.0,10.265625
youtube,16-20,32,deepWalk,TransH,test,MR,target,5.4886350588235295,2.6107145000000003,5.0029448506566,5.9970551493434,9.5,1.0,4.125,5.5,6.7357145
youtube,16-20,32,deepWalk,TransD,test,MR,source2target,5.670801544117646,2.8687500000000004,5.291317351656461,6.38368264834354,10.6,1.0,4.34375,5.8375,7.2125
youtube,16-20,32,deepWalk,TransH,test,Hit@10,source,0.5446295882352942,0.22291649999999996,0.4575588237631468,0.5424411762368532,0.9,0.25,0.41250025,0.5,0.63541675
youtube,16-20,32,deepWalk,TransH,test,Hit@10,source2target,0.8495180441176471,0.25,0.8274023835866197,0.9225976164133803,1.0,0.5,0.75,0.875,1.0
youtube,16-20,32,node2vec,SimplE,test,MR,target,8.178292352941176,1.9562500000000007,7.773382151565299,8.518284848434702,11.125,5.166667,7.074999999999999,8.1458335,9.03125
youtube,16-20,32,deepWalk,TransD,test,MR,transformed,5.236040014705883,3.4333329999999997,4.387992631386398,5.695340368613602,9.75,1.0,3.4,5.0416665,6.833333
